Model,S_IS_T→S↑,S_IS_T→U↓,U_IS_T↓,U_IU_T↓,S_IU_T↓,mASR↓,RR↓
LLaVA-v1.5-7B,100.00,95.14,99.90,94.30,93.40,95.92,0.00
LLaVA-v1.5-13B,100.00,96.56,100.00,91.24,94.70,95.98,0.00
InternVL2.5-8B,99.74,94.91,98.80,76.63,81.98,88.97,0.27
InternVL2.5-26B,99.87,92.18,98.80,65.23,69.73,82.84,0.13
InternVL2.5-38B,100.00,91.59,98.29,68.43,70.44,83.39,0.00
Qwen-2.5-VL-7B,99.74,86.85,100.00,79.42,81.15,87.71,0.27
Qwen-2.5-VL-32B,100.00,96.92,99.70,74.13,80.09,88.73,0.00
Gemma3-12B-IT,99.87,84.83,97.09,40.06,47.82,69.75,0.13
Gemma3-27B-IT,100.00,86.97,97.89,41.31,47.82,70.78,0.00
GPT-4o-mini,99.34,81.04,92.27,27.40,34.51,61.41,0.66
GPT-4o,97.62,60.19,66.57,10.29,20.85,41.73,2.38
Claude-3.5-Sonnet,99.34,53.20,73.59,16.41,17.90,42.61,0.66
Gemini-2.0-Flash,99.87,88.15,97.79,46.18,48.17,72.15,0.13
VLGuard-7B,99.60,53.44,89.46,30.32,34.63,54.40,0.40
SPA-VL-DPO-7B,99.21,74.17,96.99,39.22,41.11,65.23,0.80
SafeLLaVA-7B (Ours),97.75,6.75,39.36,0.28,0.35,13.32,2.25
SafeLLaVA-13B (Ours),93.91,2.01,9.84,0.14,0.24,3.46,6.09
