Model,S_IS_T→S↑,S_IS_T→U↓,U_IS_T↓,U_IU_T↓,S_IU_T↓,mASR↓,RR↓
LLaVA-v1.5-7B,96.82,95.85,99.20,83.31,84.92,91.46,3.18
LLaVA-v1.5-13B,96.95,94.43,99.00,75.24,79.03,87.88,3.05
InternVL2.5-8B,96.82,92.89,97.39,54.94,63.96,78.99,3.18
InternVL2.5-26B,98.01,89.69,97.29,43.26,51.36,72.57,1.99
InternVL2.5-38B,97.75,89.10,96.89,44.09,48.29,71.71,2.25
Qwen-2.5-VL-7B,98.54,82.58,99.00,60.22,57.24,76.35,1.46
Qwen-2.5-VL-32B,97.62,95.14,99.20,63.00,66.20,82.34,2.38
Gemma3-12B-IT,98.41,84.01,97.19,36.44,46.76,68.55,1.59
Gemma3-27B-IT,98.81,88.03,98.49,33.66,44.88,68.87,1.19
GPT-4o-mini,99.74,77.01,89.96,22.95,29.92,57.66,0.27
GPT-4o,99.07,58.29,76.61,11.96,18.96,44.07,0.93
Claude-3.5-Sonnet,99.47,51.07,80.12,10.71,14.96,39.21,0.53
Gemini-2.0-Flash,98.81,85.07,96.29,36.44,39.22,66.67,1.19
VLGuard-7B,96.95,53.08,89.26,22.25,31.92,51.88,3.05
SPA-VL-DPO-7B,97.48,72.51,96.69,23.78,24.50,57.34,2.52
SafeLLaVA-7B (Ours),96.03,7.70,39.76,0.28,0.59,13.73,3.97
SafeLLaVA-13B (Ours),91.92,3.44,10.34,0.28,0.35,4.02,8.08
